,id,zipcode,bedrooms,bathrooms,price,neighbourhood_cleansed,latitude,longitude,property_type,room_type,is_location_exact,address,zestimate,,
104,32191764,,1,1,$130.00,Sunnyvale,37.35244,-122.00813,Condominium,Entire home/apt,f,"999 E El Camino Real, Sunnyvale, CA 94087, USA","434,000","1 beds 1 bath 999 E El Camino Real, Sunnyvale, CA 94087, USA zillow","1 beds 1 bath 999 E El Camino Real, Sunnyvale, CA 94087, USA zillow"
73,28834302,,1,1,$139.00,San Jose,37.39999,-121.88438,Condominium,Entire home/apt,f,"1848 Tradan Dr, San Jose, CA 95132, USA","$485,174","1 beds 1 bath 1848 Tradan Dr, San Jose, CA 95132, USA zillow","1 beds 1 bath 1848 Tradan Dr, San Jose, CA 95132, USA zillow"
124,33498783,95128,1,2,$148.00,Unincorporated Areas,37.31114,-121.93858,Condominium,Entire home/apt,f,"1154 Yarwood Ct, San Jose, CA 95128, USA","505,220","1 beds 2 bath 1154 Yarwood Ct, San Jose, CA 95128, USA zillow","1 beds 2 bath 1154 Yarwood Ct, San Jose, CA 95128, USA zillow"
93,30955198,95035,1,1,$106.00,Milpitas,37.41534,-121.90391,Condominium,Entire home/apt,f,"Great Mall & Abel, Milpitas, CA 95035, USA","516,264","1 beds 1 bath Great Mall & Abel, Milpitas, CA 95035, USA zillow","1 beds 1 bath Great Mall & Abel, Milpitas, CA 95035, USA zillow"
110,32598188,95110,2,1,$119.00,San Jose,37.31118,-121.87992,Condominium,Entire home/apt,f,"328 Shadow Run Dr, San Jose, CA 95110, USA","567,000","2 beds 1 bath 328 Shadow Run Dr, San Jose, CA 95110, USA zillow","2 beds 1 bath 328 Shadow Run Dr, San Jose, CA 95110, USA zillow"
145,36477900,95111,3,2,$169.00,San Jose,37.28714,-121.84224,Townhouse,Entire home/apt,f,"3173 Kenland Dr, San Jose, CA 95111, USA","594,907","3 beds 2 bath 3173 Kenland Dr, San Jose, CA 95111, USA zillow","3 beds 2 bath 3173 Kenland Dr, San Jose, CA 95111, USA zillow"
86,30090887,95035,3,3,$184.00,Milpitas,37.408,-121.90024,Condominium,Entire home/apt,f,"1628 Lee Way, Milpitas, CA 95035, USA","$609,886","3 beds 3 bath 1628 Lee Way, Milpitas, CA 95035, USA zillow","3 beds 3 bath 1628 Lee Way, Milpitas, CA 95035, USA zillow"
47,22031678,95035,2,2,$120.00,Milpitas,37.4237,-121.91208,Townhouse,Entire home/apt,t,"383 Rio Verde Pl, Milpitas, CA 95035, USA","$619,152","2 beds 2 bath 383 Rio Verde Pl, Milpitas, CA 95035, USA zillow","2 beds 2 bath 383 Rio Verde Pl, Milpitas, CA 95035, USA zillow"
60,24796957,95112,1,1,$149.00,San Jose,37.34106,-121.89367,Condominium,Entire home/apt,t,"1 E Julian St, San Jose, CA 95112, USA","$652,924","1 beds 1 bath 1 E Julian St, San Jose, CA 95112, USA zillow","1 beds 1 bath 1 E Julian St, San Jose, CA 95112, USA zillow"
2,2186905,94087,1,1,$175.00,Sunnyvale,37.35067,-122.01555,Condominium,Entire home/apt,t,"880 E Fremont Ave, Sunnyvale, CA 94087, USA","$660,429","1 beds 1 bath 880 E Fremont Ave, Sunnyvale, CA 94087, USA zillow","1 beds 1 bath 880 E Fremont Ave, Sunnyvale, CA 94087, USA zillow"
84,29826572,95128,2,1.5,$225.00,San Jose,37.32254,-121.94765,Condominium,Entire home/apt,t,"334 Santana Row #1000, San Jose, CA 95128, USA","$672,898","2 beds 1.5 bath 334 Santana Row #1000, San Jose, CA 95128, USA zillow","2 beds 1.5 bath 334 Santana Row #1000, San Jose, CA 95128, USA zillow"
25,16395832,95133,2,2.5,$195.00,San Jose,37.3752,-121.85887,Townhouse,Entire home/apt,t,"2352 Ferndale Way, San Jose, CA 95133, USA","$693,348","2 beds 2.5 bath 2352 Ferndale Way, San Jose, CA 95133, USA zillow","2 beds 2.5 bath 2352 Ferndale Way, San Jose, CA 95133, USA zillow"
117,32988632,,3,2.5,$183.00,San Jose,37.413,-121.86189,Condominium,Entire home/apt,f,"3312 Cropley Ave, San Jose, CA 95132, USA","702,484","3 beds 2.5 bath 3312 Cropley Ave, San Jose, CA 95132, USA zillow","3 beds 2.5 bath 3312 Cropley Ave, San Jose, CA 95132, USA zillow"
146,36489953,95051,2,2,$250.00,Santa Clara,37.34391,-121.98096,Condominium,Entire home/apt,t,"3043 Kaiser Dr, Santa Clara, CA 95051, USA","718,935","2 beds 2 bath 3043 Kaiser Dr, Santa Clara, CA 95051, USA zillow","2 beds 2 bath 3043 Kaiser Dr, Santa Clara, CA 95051, USA zillow"
37,20413868,95134,2,2,$200.00,San Jose,37.40194,-121.92019,Condominium,Entire home/apt,t,"716 Applause Pl, San Jose, CA 95134, USA","$735,330","2 beds 2 bath 716 Applause Pl, San Jose, CA 95134, USA zillow","2 beds 2 bath 716 Applause Pl, San Jose, CA 95134, USA zillow"
74,28889880,,2,1.5,$168.00,Santa Clara,37.34437,-121.98284,Condominium,Entire home/apt,f,"3033 Kaiser Dr, Santa Clara, CA 95051, USA","$738,659","2 beds 1.5 bath 3033 Kaiser Dr, Santa Clara, CA 95051, USA zillow","2 beds 1.5 bath 3033 Kaiser Dr, Santa Clara, CA 95051, USA zillow"
83,29802123,94043,1,1,$95.00,Mountain View,37.40109,-122.0701,Condominium,Entire home/apt,t,"500 W Middlefield Rd, Mountain View, CA 94043, USA","$748,008","1 beds 1 bath 500 W Middlefield Rd, Mountain View, CA 94043, USA zillow","1 beds 1 bath 500 W Middlefield Rd, Mountain View, CA 94043, USA zillow"
33,18997582,95126,2,2,$125.00,San Jose,37.31984,-121.91103,Condominium,Entire home/apt,t,"50 Saddle Rack St, San Jose, CA 95126, USA","$768,984","2 beds 2 bath 50 Saddle Rack St, San Jose, CA 95126, USA zillow","2 beds 2 bath 50 Saddle Rack St, San Jose, CA 95126, USA zillow"
70,27805374,95035,2,2,$175.00,Milpitas,37.42204,-121.90696,Condominium,Entire home/apt,f,"934 Mente Linda Loop, Milpitas, CA 95035, USA","$776,825","2 beds 2 bath 934 Mente Linda Loop, Milpitas, CA 95035, USA zillow","2 beds 2 bath 934 Mente Linda Loop, Milpitas, CA 95035, USA zillow"
92,30789085,95136,2,2.5,$158.00,San Jose,37.28175,-121.86038,Condominium,Entire home/apt,t,"620 Marble Arch Ave, San Jose, CA 95136, USA","787,630","2 beds 2.5 bath 620 Marble Arch Ave, San Jose, CA 95136, USA zillow","2 beds 2.5 bath 620 Marble Arch Ave, San Jose, CA 95136, USA zillow"
22,15357018,94040,1,1,$80.00,Mountain View,37.40378,-122.10274,Condominium,Entire home/apt,t,"60 Ortega Ave, Mountain View, CA 94040, USA","$803,045","1 beds 1 bath 60 Ortega Ave, Mountain View, CA 94040, USA zillow","1 beds 1 bath 60 Ortega Ave, Mountain View, CA 94040, USA zillow"
135,35225066,,3,2.5,$173.00,San Jose,37.36244,-121.88968,Condominium,Entire home/apt,f,"771 Modern Ice Dr, San Jose, CA 95112, USA","861,402","3 beds 2.5 bath 771 Modern Ice Dr, San Jose, CA 95112, USA zillow","3 beds 2.5 bath 771 Modern Ice Dr, San Jose, CA 95112, USA zillow"
90,30502514,,3,2.5,$184.00,San Jose,37.29492,-121.84505,Condominium,Entire home/apt,f,"2781 Lavender Terrace, San Jose, CA 95111, USA","862,548","3 beds 2.5 bath 2781 Lavender Terrace, San Jose, CA 95111, USA zillow","3 beds 2.5 bath 2781 Lavender Terrace, San Jose, CA 95111, USA zillow"
4,4607712,95008,2,2,$320.00,Campbell,37.2848,-121.93805,Townhouse,Entire home/apt,t,"185 Union Ave, Campbell, CA 95008, USA","$875,000","2 beds 2 bath 185 Union Ave, Campbell, CA 95008, USA zillow","2 beds 2 bath 185 Union Ave, Campbell, CA 95008, USA zillow"
78,29515758,95035,3,2,$177.00,Milpitas,37.4193,-121.90292,Condominium,Entire home/apt,f,"27A E Curtis Ave, Milpitas, CA 95035, USA","$900,647","3 beds 2 bath 27A E Curtis Ave, Milpitas, CA 95035, USA zillow","3 beds 2 bath 27A E Curtis Ave, Milpitas, CA 95035, USA zillow"
109,32526452,,3,2,$180.00,San Jose,37.36706,-121.86513,Condominium,Entire home/apt,f,"676 Obsidian Dr, San Jose, CA 95133, USA","928,395","3 beds 2 bath 676 Obsidian Dr, San Jose, CA 95133, USA zillow","3 beds 2 bath 676 Obsidian Dr, San Jose, CA 95133, USA zillow"
66,25804918,95054,2,2,$350.00,Santa Clara,37.39431,-121.95022,Condominium,Entire home/apt,t,"888 Agnew Rd, Santa Clara, CA 95054, USA","$941,532","2 beds 2 bath 888 Agnew Rd, Santa Clara, CA 95054, USA zillow","2 beds 2 bath 888 Agnew Rd, Santa Clara, CA 95054, USA zillow"
116,32843609,95126,2,2.5,$299.00,San Jose,37.33371,-121.90814,Condominium,Entire home/apt,t,"933 W Julian St, San Jose, CA 95126, USA","946,238","2 beds 2.5 bath 933 W Julian St, San Jose, CA 95126, USA zillow","2 beds 2.5 bath 933 W Julian St, San Jose, CA 95126, USA zillow"
76,29215618,,3,3,$174.00,San Jose,37.29841,-121.86738,Condominium,Entire home/apt,f,"2200 Golden Crest Common, San Jose, CA 95125, USA","$949,748","3 beds 3 bath 2200 Golden Crest Common, San Jose, CA 95125, USA zillow","3 beds 3 bath 2200 Golden Crest Common, San Jose, CA 95125, USA zillow"
34,19142350,95126,2,2,$200.00,San Jose,37.32136,-121.9115,Condominium,Entire home/apt,f,"375 Race St, San Jose, CA 95126, USA","$985,674","2 beds 2 bath 375 Race St, San Jose, CA 95126, USA zillow","2 beds 2 bath 375 Race St, San Jose, CA 95126, USA zillow"
15,10089381,94043,2,1.5,$189.00,Mountain View,37.39889,-122.06512,Townhouse,Entire home/apt,t,"50 E Middlefield Rd, Mountain View, CA 94043, USA","$992,850","2 beds 1.5 bath 50 E Middlefield Rd, Mountain View, CA 94043, USA zillow","2 beds 1.5 bath 50 E Middlefield Rd, Mountain View, CA 94043, USA zillow"
12,8522180,95131,3,2.5,$269.00,San Jose,37.37557,-121.87527,Townhouse,Entire home/apt,t,"1130 Chen St, San Jose, CA 95131, USA","$1,000,609","3 beds 2.5 bath 1130 Chen St, San Jose, CA 95131, USA zillow","3 beds 2.5 bath 1130 Chen St, San Jose, CA 95131, USA zillow"
68,26393418,,3,2.5,$197.00,San Jose,37.32334,-121.90295,Condominium,Entire home/apt,f,"346 Bautista Pl, San Jose, CA 95126, USA","$1,001,942","3 beds 2.5 bath 346 Bautista Pl, San Jose, CA 95126, USA zillow","3 beds 2.5 bath 346 Bautista Pl, San Jose, CA 95126, USA zillow"
62,24940993,,3,2.5,$177.00,San Jose,37.2962,-121.84565,Condominium,Entire home/apt,f,"2795 Garden Ave, San Jose, CA 95111, USA","$1,015,325","3 beds 2.5 bath 2795 Garden Ave, San Jose, CA 95111, USA zillow","3 beds 2.5 bath 2795 Garden Ave, San Jose, CA 95111, USA zillow"
69,26629452,94043,2,2,$250.00,Mountain View,37.41182,-122.09357,Condominium,Entire home/apt,t,"2124 W Middlefield Rd, Mountain View, CA 94043, USA","$1,021,476","2 beds 2 bath 2124 W Middlefield Rd, Mountain View, CA 94043, USA zillow","2 beds 2 bath 2124 W Middlefield Rd, Mountain View, CA 94043, USA zillow"
142,35978955,94043,2,1,$161.00,Mountain View,37.396,-122.06516,Condominium,Entire home/apt,t,"196 Ada Ave, Mountain View, CA 94043, USA","1,021,807","2 beds 1 bath 196 Ada Ave, Mountain View, CA 94043, USA zillow","2 beds 1 bath 196 Ada Ave, Mountain View, CA 94043, USA zillow"
64,25546378,,2,2,$185.00,Mountain View,37.40017,-122.10535,Condominium,Entire home/apt,f,"400 Ortega Ave, Mountain View, CA 94040, USA","$1,023,821","2 beds 2 bath 400 Ortega Ave, Mountain View, CA 94040, USA zillow","2 beds 2 bath 400 Ortega Ave, Mountain View, CA 94040, USA zillow"
14,9838874,95110,2,2,$200.00,San Jose,37.33475,-121.89414,Condominium,Entire home/apt,t,"1 N Almaden Ave, San Jose, CA 95113, USA","$1,044,181","2 beds 2 bath 1 N Almaden Ave, San Jose, CA 95113, USA zillow","2 beds 2 bath 1 N Almaden Ave, San Jose, CA 95113, USA zillow"
95,31127306,95035,3,2.5,$249.00,Milpitas,37.40929,-121.89582,Townhouse,Entire home/apt,f,"1662 Centre Pointe Dr, Milpitas, CA 95035, USA","1,051,419","3 beds 2.5 bath 1662 Centre Pointe Dr, Milpitas, CA 95035, USA zillow","3 beds 2.5 bath 1662 Centre Pointe Dr, Milpitas, CA 95035, USA zillow"
125,33556067,95136,3,2.5,$199.00,San Jose,37.26422,-121.86346,Townhouse,Entire home/apt,t,"4649 Adamo Dr, San Jose, CA 95136, USA","1,066,626","3 beds 2.5 bath 4649 Adamo Dr, San Jose, CA 95136, USA zillow","3 beds 2.5 bath 4649 Adamo Dr, San Jose, CA 95136, USA zillow"
39,21094846,,3,2.5,$208.00,Sunnyvale,37.37196,-122.05952,Condominium,Entire home/apt,f,"695 S Knickerbocker Dr, Sunnyvale, CA 94087, USA","$1,067,897","3 beds 2.5 bath 695 S Knickerbocker Dr, Sunnyvale, CA 94087, USA zillow","3 beds 2.5 bath 695 S Knickerbocker Dr, Sunnyvale, CA 94087, USA zillow"
98,31450791,94085,3,2,$258.00,Sunnyvale,37.38585,-122.01839,Townhouse,Entire home/apt,t,"551 E Maude Ave, Sunnyvale, CA 94085, USA","1,089,237","3 beds 2 bath 551 E Maude Ave, Sunnyvale, CA 94085, USA zillow","3 beds 2 bath 551 E Maude Ave, Sunnyvale, CA 94085, USA zillow"
42,21400047,95008,2,1,$120.00,Campbell,37.29328,-121.92788,Townhouse,Entire home/apt,t,"441 April Way, Campbell, CA 95008, USA","$1,114,155","2 beds 1 bath 441 April Way, Campbell, CA 95008, USA zillow","2 beds 1 bath 441 April Way, Campbell, CA 95008, USA zillow"
134,34998533,,2,2.5,$157.00,San Jose,37.38197,-121.86506,Condominium,Entire home/apt,f,"1138 Genco Terrace, San Jose, CA 95133, USA","1,129,903","2 beds 2.5 bath 1138 Genco Terrace, San Jose, CA 95133, USA zillow","2 beds 2.5 bath 1138 Genco Terrace, San Jose, CA 95133, USA zillow"
111,32613193,95050,2,2,$130.00,Santa Clara,37.35971,-121.96287,Condominium,Entire home/apt,t,"2067 Eucalyptus Ct, Santa Clara, CA 95050, USA","1,145,460","2 beds 2 bath 2067 Eucalyptus Ct, Santa Clara, CA 95050, USA zillow","2 beds 2 bath 2067 Eucalyptus Ct, Santa Clara, CA 95050, USA zillow"
77,29515645,,2,2,$161.00,Santa Clara,37.3961,-121.94388,Condominium,Entire home/apt,f,"5501 Moreland Way, Santa Clara, CA 95054, USA","$1,184,677","2 beds 2 bath 5501 Moreland Way, Santa Clara, CA 95054, USA zillow","2 beds 2 bath 5501 Moreland Way, Santa Clara, CA 95054, USA zillow"
43,21580564,,2,2,$173.00,Sunnyvale,37.40128,-122.01448,Condominium,Entire home/apt,f,"1162 Morse Ave, Sunnyvale, CA 94089, USA","$1,208,851","2 beds 2 bath 1162 Morse Ave, Sunnyvale, CA 94089, USA zillow","2 beds 2 bath 1162 Morse Ave, Sunnyvale, CA 94089, USA zillow"
13,8593617,94040,2,2.5,$210.00,Mountain View,37.40681,-122.10623,Townhouse,Entire home/apt,t,"Caltrain Underpass, Mountain View, CA 94043, USA","$1,227,607","2 beds 2.5 bath Caltrain Underpass, Mountain View, CA 94043, USA zillow","2 beds 2.5 bath Caltrain Underpass, Mountain View, CA 94043, USA zillow"
63,25106440,95014,2,2,$159.00,Cupertino,37.32337,-122.02356,Condominium,Entire home/apt,t,"20007 Stevens Creek Blvd, Cupertino, CA 95014, USA","$1,243,718","2 beds 2 bath 20007 Stevens Creek Blvd, Cupertino, CA 95014, USA zillow","2 beds 2 bath 20007 Stevens Creek Blvd, Cupertino, CA 95014, USA zillow"
67,26038196,,3,2.5,$194.00,San Jose,37.39271,-121.90249,Condominium,Entire home/apt,f,"1821 Bright Willow Cir, San Jose, CA 95131, USA","$1,244,465","3 beds 2.5 bath 1821 Bright Willow Cir, San Jose, CA 95131, USA zillow","3 beds 2.5 bath 1821 Bright Willow Cir, San Jose, CA 95131, USA zillow"
114,32740289,94043,2,2,"$2,000.00",Mountain View,37.41342,-122.09247,Condominium,Entire home/apt,t,"765 Rengstorff Ave, Mountain View, CA 94043, USA","1,260,176","2 beds 2 bath 765 Rengstorff Ave, Mountain View, CA 94043, USA zillow","2 beds 2 bath 765 Rengstorff Ave, Mountain View, CA 94043, USA zillow"
53,24181843,94041,2,1,$250.00,Mountain View,37.39467,-122.08593,Condominium,Entire home/apt,t,"1335 W Dana St, Mountain View, CA 94041, USA","$1,271,823","2 beds 1 bath 1335 W Dana St, Mountain View, CA 94041, USA zillow","2 beds 1 bath 1335 W Dana St, Mountain View, CA 94041, USA zillow"
131,34571495,95054,2,2,$195.00,Santa Clara,37.39506,-121.95908,Condominium,Entire home/apt,t,"4320 Bassett St, Santa Clara, CA 95054, USA","1,366,779","2 beds 2 bath 4320 Bassett St, Santa Clara, CA 95054, USA zillow","2 beds 2 bath 4320 Bassett St, Santa Clara, CA 95054, USA zillow"
8,7009981,95054,3,3,$339.00,Santa Clara,37.39973,-121.94861,Townhouse,Entire home/apt,t,"4337 Watson Cir, Santa Clara, CA 95054, USA","$1,388,893","3 beds 3 bath 4337 Watson Cir, Santa Clara, CA 95054, USA zillow","3 beds 3 bath 4337 Watson Cir, Santa Clara, CA 95054, USA zillow"
28,17302855,94043,3,1.5,$200.00,Mountain View,37.41146,-122.09424,Townhouse,Entire home/apt,f,"580 N Rengstorff Ave, Mountain View, CA 94043, USA","$1,439,552","3 beds 1.5 bath 580 N Rengstorff Ave, Mountain View, CA 94043, USA zillow","3 beds 1.5 bath 580 N Rengstorff Ave, Mountain View, CA 94043, USA zillow"
71,28695818,,3,2.5,$190.00,Sunnyvale,37.37112,-122.01552,Condominium,Entire home/apt,f,"Evelyn & Wolfe, Sunnyvale, CA 94086, USA","$1,451,666","3 beds 2.5 bath Evelyn & Wolfe, Sunnyvale, CA 94086, USA zillow","3 beds 2.5 bath Evelyn & Wolfe, Sunnyvale, CA 94086, USA zillow"
1,2153453,94043,2,1.5,$220.00,Mountain View,37.39619,-122.06736,Townhouse,Entire home/apt,t,"37 Easy St, Mountain View, CA 94043, USA","$1,507,344","2 beds 1.5 bath 37 Easy St, Mountain View, CA 94043, USA zillow","2 beds 1.5 bath 37 Easy St, Mountain View, CA 94043, USA zillow"
144,36278552,94085,3,2,$195.00,Sunnyvale,37.3864,-122.0166,Townhouse,Entire home/apt,t,"580 Fir Ave, Sunnyvale, CA 94085, USA","1,565,935","3 beds 2 bath 580 Fir Ave, Sunnyvale, CA 94085, USA zillow","3 beds 2 bath 580 Fir Ave, Sunnyvale, CA 94085, USA zillow"
140,35743145,94043,3,2.5,$258.00,Mountain View,37.39159,-122.05778,Townhouse,Entire home/apt,f,"171 Stockwell Dr, Mountain View, CA 94043, USA","1,583,978","3 beds 2.5 bath 171 Stockwell Dr, Mountain View, CA 94043, USA zillow","3 beds 2.5 bath 171 Stockwell Dr, Mountain View, CA 94043, USA zillow"
24,16331488,95129,3,2.5,$350.00,San Jose,37.30924,-122.0306,Townhouse,Entire home/apt,t,"7270 Ventana Pl, San Jose, CA 95129, USA","$1,653,835","3 beds 2.5 bath 7270 Ventana Pl, San Jose, CA 95129, USA zillow","3 beds 2.5 bath 7270 Ventana Pl, San Jose, CA 95129, USA zillow"
52,24178220,94041,2,1,$223.00,Mountain View,37.39474,-122.08563,Condominium,Entire home/apt,t,"300 Mountain View Ave, Mountain View, CA 94041, USA","$1,713,001","2 beds 1 bath 300 Mountain View Ave, Mountain View, CA 94041, USA zillow","2 beds 1 bath 300 Mountain View Ave, Mountain View, CA 94041, USA zillow"
59,24655804,,2,2,$490.00,Palo Alto,37.44412,-122.15975,Condominium,Entire home/apt,f,"275 Forest Ave, Palo Alto, CA 94301, USA","$1,714,800","2 beds 2 bath 275 Forest Ave, Palo Alto, CA 94301, USA zillow","2 beds 2 bath 275 Forest Ave, Palo Alto, CA 94301, USA zillow"
101,31648540,,3,2,$193.00,Sunnyvale,37.35208,-122.01714,Condominium,Entire home/apt,f,"828 E Fremont Ave, Sunnyvale, CA 94087, USA","1,722,200","3 beds 2 bath 828 E Fremont Ave, Sunnyvale, CA 94087, USA zillow","3 beds 2 bath 828 E Fremont Ave, Sunnyvale, CA 94087, USA zillow"
61,24938963,94306,3,2.5,$250.00,Palo Alto,37.41613,-122.12801,Townhouse,Entire home/apt,t,"3981 El Camino Real, Palo Alto, CA 94306, USA","$1,791,204","3 beds 2.5 bath 3981 El Camino Real, Palo Alto, CA 94306, USA zillow","3 beds 2.5 bath 3981 El Camino Real, Palo Alto, CA 94306, USA zillow"
120,33298639,94041,1,1,$160.00,Mountain View,37.3897,-122.07073,Condominium,Entire home/apt,t,"138 W Dana St, Mountain View, CA 94041, USA","1,808,205","1 beds 1 bath 138 W Dana St, Mountain View, CA 94041, USA zillow","1 beds 1 bath 138 W Dana St, Mountain View, CA 94041, USA zillow"
5,5992960,94043,3,1.5,$350.00,Mountain View,37.4028,-122.06508,Townhouse,Entire home/apt,f,"525 Lynwood Ave, Mountain View, CA 94043, USA","$1,838,821","3 beds 1.5 bath 525 Lynwood Ave, Mountain View, CA 94043, USA zillow","3 beds 1.5 bath 525 Lynwood Ave, Mountain View, CA 94043, USA zillow"
105,32241965,,3,2,$210.00,Mountain View,37.40569,-122.10313,Condominium,Entire home/apt,f,"2447 Tamalpais St, Mountain View, CA 94043, USA","1,917,006","3 beds 2 bath 2447 Tamalpais St, Mountain View, CA 94043, USA zillow","3 beds 2 bath 2447 Tamalpais St, Mountain View, CA 94043, USA zillow"
32,18673303,94087,2,1.5,$199.00,Sunnyvale,37.35243,-122.02272,Townhouse,Entire home/apt,t,"1274 Rembrandt Dr, Sunnyvale, CA 94087, USA","$1,947,121","2 beds 1.5 bath 1274 Rembrandt Dr, Sunnyvale, CA 94087, USA zillow","2 beds 1.5 bath 1274 Rembrandt Dr, Sunnyvale, CA 94087, USA zillow"
17,10597712,94043,2,3,$150.00,Mountain View,37.4123,-122.09574,Townhouse,Entire home/apt,t,"2235 Rock St, Mountain View, CA 94043, USA","$1,986,875","2 beds 3 bath 2235 Rock St, Mountain View, CA 94043, USA zillow","2 beds 3 bath 2235 Rock St, Mountain View, CA 94043, USA zillow"
139,35673691,,2,2,$170.00,Mountain View,37.39704,-122.06453,Condominium,Entire home/apt,f,"116 Kittoe Dr, Mountain View, CA 94043, USA","2,100,752","2 beds 2 bath 116 Kittoe Dr, Mountain View, CA 94043, USA zillow","2 beds 2 bath 116 Kittoe Dr, Mountain View, CA 94043, USA zillow"
81,29666654,94041,2,1,$260.00,Mountain View,37.39441,-122.08858,Condominium,Entire home/apt,t,"410 Pettis Ave, Mountain View, CA 94041, USA","$2,128,175","2 beds 1 bath 410 Pettis Ave, Mountain View, CA 94041, USA zillow","2 beds 1 bath 410 Pettis Ave, Mountain View, CA 94041, USA zillow"
51,23963168,,2,2,$217.00,Mountain View,37.40508,-122.10389,Condominium,Entire home/apt,f,"49 Showers Dr, Mountain View, CA 94040, USA","$2,281,876","2 beds 2 bath 49 Showers Dr, Mountain View, CA 94040, USA zillow","2 beds 2 bath 49 Showers Dr, Mountain View, CA 94040, USA zillow"
